Case,FolderName,LDS,H2Gen_avai,CO2_price,EL_cost_factor,hydrogen_demand_option,hydrogen_demand_factor,BEV_penetration,FCEV_penetration,SMR_option_avai,EL_option_avai,hydrogen_generation_option,H2_to_power_option,H2_to_power_cost_factor,Truck_option_avai,share_truck_options,Pipe_option_avai,Pipe_integer,Transmission_cost_factor,solver_option,Method,Crossover,SolutionType
1,30,1,1,1000,1,1,1,0,0.2,1,1,1,1,1.2,1,1,1,0,1,1,2,0,2
2,30,1,1,1000,1,1,1,0,0.2,1,1,1,1,1.1,1,1,1,0,1,1,2,0,2
3,30,1,1,1000,1,1,1,0,0.2,1,1,1,1,1,1,1,1,0,1,1,2,0,2
4,30,1,1,1000,1,1,1,0,0.2,1,1,1,1,0.9,1,1,1,0,1,1,2,0,2
5,30,1,1,1000,1,1,1,0,0.2,1,1,1,1,0.8,1,1,1,0,1,1,2,0,2
6,30,1,1,1000,1,1,1,0,0.2,1,1,1,1,0.7,1,1,1,0,1,1,2,0,2
7,30,1,1,1000,1,1,1,0,0.2,1,1,1,1,0.6,1,1,1,0,1,1,2,0,2
8,30,1,1,1000,1,1,1,0,0.2,1,1,1,1,0.5,1,1,1,0,1,1,2,0,2
9,30,1,1,1000,0.9,1,1,0,0.2,1,1,1,1,1.2,1,1,1,0,1,1,2,0,2
10,30,1,1,1000,0.9,1,1,0,0.2,1,1,1,1,1.1,1,1,1,0,1,1,2,0,2
11,30,1,1,1000,0.9,1,1,0,0.2,1,1,1,1,1,1,1,1,0,1,1,2,0,2
12,30,1,1,1000,0.9,1,1,0,0.2,1,1,1,1,0.9,1,1,1,0,1,1,2,0,2
13,30,1,1,1000,0.9,1,1,0,0.2,1,1,1,1,0.8,1,1,1,0,1,1,2,0,2
14,30,1,1,1000,0.9,1,1,0,0.2,1,1,1,1,0.7,1,1,1,0,1,1,2,0,2
15,30,1,1,1000,0.9,1,1,0,0.2,1,1,1,1,0.6,1,1,1,0,1,1,2,0,2
16,30,1,1,1000,0.9,1,1,0,0.2,1,1,1,1,0.5,1,1,1,0,1,1,2,0,2
17,30,1,1,1000,0.8,1,1,0,0.2,1,1,1,1,1.2,1,1,1,0,1,1,2,0,2
18,30,1,1,1000,0.8,1,1,0,0.2,1,1,1,1,1.1,1,1,1,0,1,1,2,0,2
19,30,1,1,1000,0.8,1,1,0,0.2,1,1,1,1,1,1,1,1,0,1,1,2,0,2
20,30,1,1,1000,0.8,1,1,0,0.2,1,1,1,1,0.9,1,1,1,0,1,1,2,0,2
21,30,1,1,1000,0.8,1,1,0,0.2,1,1,1,1,0.8,1,1,1,0,1,1,2,0,2
22,30,1,1,1000,0.8,1,1,0,0.2,1,1,1,1,0.7,1,1,1,0,1,1,2,0,2
23,30,1,1,1000,0.8,1,1,0,0.2,1,1,1,1,0.6,1,1,1,0,1,1,2,0,2
24,30,1,1,1000,0.8,1,1,0,0.2,1,1,1,1,0.5,1,1,1,0,1,1,2,0,2
25,30,1,1,1000,0.7,1,1,0,0.2,1,1,1,1,1.2,1,1,1,0,1,1,2,0,2
26,30,1,1,1000,0.7,1,1,0,0.2,1,1,1,1,1.1,1,1,1,0,1,1,2,0,2
27,30,1,1,1000,0.7,1,1,0,0.2,1,1,1,1,1,1,1,1,0,1,1,2,0,2
28,30,1,1,1000,0.7,1,1,0,0.2,1,1,1,1,0.9,1,1,1,0,1,1,2,0,2
29,30,1,1,1000,0.7,1,1,0,0.2,1,1,1,1,0.8,1,1,1,0,1,1,2,0,2
30,30,1,1,1000,0.7,1,1,0,0.2,1,1,1,1,0.7,1,1,1,0,1,1,2,0,2
31,30,1,1,1000,0.7,1,1,0,0.2,1,1,1,1,0.6,1,1,1,0,1,1,2,0,2
32,30,1,1,1000,0.7,1,1,0,0.2,1,1,1,1,0.5,1,1,1,0,1,1,2,0,2
33,30,1,1,1000,0.6,1,1,0,0.2,1,1,1,1,1.2,1,1,1,0,1,1,2,0,2
34,30,1,1,1000,0.6,1,1,0,0.2,1,1,1,1,1.1,1,1,1,0,1,1,2,0,2
35,30,1,1,1000,0.6,1,1,0,0.2,1,1,1,1,1,1,1,1,0,1,1,2,0,2
36,30,1,1,1000,0.6,1,1,0,0.2,1,1,1,1,0.9,1,1,1,0,1,1,2,0,2
37,30,1,1,1000,0.6,1,1,0,0.2,1,1,1,1,0.8,1,1,1,0,1,1,2,0,2
38,30,1,1,1000,0.6,1,1,0,0.2,1,1,1,1,0.7,1,1,1,0,1,1,2,0,2
39,30,1,1,1000,0.6,1,1,0,0.2,1,1,1,1,0.6,1,1,1,0,1,1,2,0,2
40,30,1,1,1000,0.6,1,1,0,0.2,1,1,1,1,0.5,1,1,1,0,1,1,2,0,2
41,30,1,1,1000,0.5,1,1,0,0.2,1,1,1,1,1.2,1,1,1,0,1,1,2,0,2
42,30,1,1,1000,0.5,1,1,0,0.2,1,1,1,1,1.1,1,1,1,0,1,1,2,0,2
43,30,1,1,1000,0.5,1,1,0,0.2,1,1,1,1,1,1,1,1,0,1,1,2,0,2
44,30,1,1,1000,0.5,1,1,0,0.2,1,1,1,1,0.9,1,1,1,0,1,1,2,0,2
45,30,1,1,1000,0.5,1,1,0,0.2,1,1,1,1,0.8,1,1,1,0,1,1,2,0,2
